Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3brXaWuPsVScvYQKUh3Ijc,"Die Very Rough","Die Very Rough","Mario Judah",2020-06-25,91170,59,true,g4olm5cjfcdi3sp15n61v34j0,2021-02-27T17:51:06Z,"rage rap","Mario Judah Entertainment",0.72,0.74,1,-3.815,1,0.0646,0.00255,0.00000255,0.303,0.172,157.953,4
spotify:track:0GLyqTysS0DFoeKjURtB8s,"unravel","Fantastic Magic","TK from Ling tosite sigure",2014-08-27,238360,1,false,g4olm5cjfcdi3sp15n61v34j0,2021-02-27T17:51:20Z,"animé,j-rock,j-pop","NITRON concepts",0.507,0.889,7,-2.755,0,0.086,0.0495,0,0.0983,0.333,135.021,4
spotify:track:0RjJSBBEolCDJ6wDiuVCmh,"ATTENTION!","Bad Vibes Forever","XXXTENTACION",2019-12-06,120055,64,true,g4olm5cjfcdi3sp15n61v34j0,2021-02-27T17:52:25Z,"rap emo","Bad Vibes Forever / EMPIRE",0.954,0.41,0,-7.725,1,0.157,0.608,0.0000176,0.133,0.457,130.074,4
spotify:track:0u9EI8zmr2QMuJLMiQFUIn,"A Cruel Angel's Thesis - Director's Edit Version","Neon Genesis Evangelion (Original Series Soundtrack)","Shiro SAGISU;Yoko Takahashi",2019-06-21,245093,0,false,g4olm5cjfcdi3sp15n61v34j0,2021-02-27T17:53:22Z,"animé,b.o.,j-pop","Editions Milan Music",0.646,0.676,0,-9.477,0,0.0431,0.0339,0.00000199,0.13,0.59,128.128,4
spotify:track:2wjkBwLbRqwaifaXqO7li1,"Bad Bambino","Bad Bambino","Bambino",2021-01-26,163750,12,true,g4olm5cjfcdi3sp15n61v34j0,2021-02-27T18:28:27Z,"pop urbaine,rap français","Local",0.87,0.636,1,-7.324,1,0.129,0.454,0,0.139,0.552,96.024,4
spotify:track:1bEnIDpwKsyhDauHVoMz6t,"Blue Bird (From ""Naruto Shippuden"")","Blue Bird (From ""Naruto Shippuden"")","Akano",2020-12-22,100200,58,false,g4olm5cjfcdi3sp15n61v34j0,2021-02-27T18:28:55Z,"animé","Akano",0.594,0.868,6,-3.286,0,0.0606,0.0209,0,0.209,0.691,151.976,4
spotify:track:7MJQ9Nfxzh8LPZ9e9u68Fq,"Lose Yourself","SHADYXV","Eminem",2014-11-24,320626,71,true,g4olm5cjfcdi3sp15n61v34j0,2021-02-27T18:33:20Z,"rap,hip-hop","Shady Records",0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,4
spotify:track:19Qu5BOV1Y8nDrzgYavYdB,"Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"")","Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"")","Akano",2019-05-10,89783,0,false,g4olm5cjfcdi3sp15n61v34j0,2021-02-27T18:35:00Z,"animé","Akano",0.656,0.654,7,-7.031,1,0.0346,0.0276,0,0.109,0.612,135.044,4
spotify:track:70ZNOtX6R1SBnPiOXwVnQU,"Shinobi","Shinobi","Holy Kidd;Negrito Senpai",2020-11-02,214000,6,true,g4olm5cjfcdi3sp15n61v34j0,2021-02-28T16:56:46Z,"rap d'animés,animé","Holy Kidd",0.605,0.676,1,-6.757,0,0.346,0.0691,0,0.328,0.561,175.879,4
spotify:track:7bV4tpmYI0pTwW3q4G8zFd,"Faux Frères","Faux Frères","La Tige;ZedxReal",2020-07-07,200454,39,true,g4olm5cjfcdi3sp15n61v34j0,2021-03-10T15:27:02Z,"","GtaRp",0.765,0.39,9,-10.272,0,0.0799,0.763,0,0.104,0.322,131.953,4
spotify:track:3Qcj8m6FFHhInWjjOrZRom,"Hope","Finally","Namie Amuro",2019-06-16,252586,0,false,g4olm5cjfcdi3sp15n61v34j0,2021-03-17T15:20:31Z,"r&b japonais,animé","Dimension Point",0.622,0.856,7,-3.707,1,0.051,0.0321,0,0.329,0.216,139.96,4
spotify:track:6y4GYuZszeXNOXuBFsJlos,"Kaikai Kitan","Kaikai Kitan / Ao No Waltz","Eve",2020-12-23,221426,72,false,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:17:02Z,"animé,j-pop,j-rock,vocaloid,indie japonaise","TOY'S FACTORY",0.584,0.911,5,-3.515,0,0.09,0.0119,0,0.119,0.606,92.502,4
spotify:track:2Aon31CR3MV3Kt3vczK9Xf,"Oui et non","Les étoiles vagabondes : expansion","Nekfeu",2019-06-21,185106,44,true,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:19:54Z,"rap français","Universal Music Division Carthage Music",0.562,0.538,7,-8.308,0,0.106,0.104,0.00000246,0.214,0.372,82.97,4
spotify:track:3qqK1agOgjrHuuIpzfeu0T,"Nekketsu","Cyborg","Nekfeu;Crystal Kay",2016-12-02,214746,45,true,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:22:21Z,"rap français,r&b japonais,j-pop","Universal Music Division Carthage Music",0.625,0.563,11,-7.614,0,0.837,0.577,0,0.158,0.63,81.383,1
spotify:track:476Nn5jU0ua9JnrAZcn6Fl,"Galatée","Cyborg","Nekfeu",2016-12-02,234200,63,true,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:22:49Z,"rap français","Universal Music Division Carthage Music",0.727,0.758,5,-6.997,0,0.411,0.381,0,0.14,0.704,93.565,4
spotify:track:3LOWSpsDZq3eTHLJdxtBXi,"Rêve d'avoir des rêves","Feu","Nekfeu",2015-06-08,296560,46,false,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:24:41Z,"rap français","Universal Music Division Carthage Music",0.7,0.657,2,-7.933,0,0.417,0.57,0,0.0802,0.484,93.985,4
spotify:track:67obelIiEq3vhpkolCCzZR,"Nique les clones, Pt. II","Feu","Nekfeu",2015-06-08,224253,56,false,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:24:45Z,"rap français","Universal Music Division Carthage Music",0.867,0.729,2,-5.309,0,0.0493,0.484,0,0.0938,0.708,119.998,4
spotify:track:3BZEcbdtXQSo7OrvKRJ6mb,"MONTERO (Call Me By Your Name)","MONTERO (Call Me By Your Name)","Lil Nas X",2021-03-26,137875,2,true,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:26:28Z,"","Columbia",0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,4
spotify:track:5vGLcdRuSbUhD8ScwsGSdA,"Whoopty","Whoopty","CJ",2020-08-20,123262,63,true,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:27:20Z,"dembow","CJ Music Group/T-Series",0.719,0.648,3,-7.6,0,0.125,0.2,0,0.127,0.66,140.201,4
spotify:track:6gBFPUFcJLzWGx4lenP6h2,"goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,84,true,g4olm5cjfcdi3sp15n61v34j0,2021-05-21T16:29:06Z,"rap","Cactus Jack / Epic",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
spotify:track:5qMOdlt9t24pN5bCtBhEqq,"Baton Rouge","Projet Blue Beam","Freeze corleone",2018-11-13,213768,48,true,g4olm5cjfcdi3sp15n61v34j0,2021-05-23T19:59:33Z,"rap français,drill","M.M.S Records",0.621,0.493,10,-10.749,0,0.538,0.513,0,0.096,0.28,134.205,4
